No.;Layer;Output Size;Accuracy;Latency [ms];Energy [mJ];Sensor Latency;Sensor Latency IQR;Sensor Energy;Link Latency;Link Energy;Edge Latency;Edge Latency IQR;Edge Energy
33;SiLU: 6-65;[1, 240, 28, 28];0.77978516;39.55132980801258;14.671953072881077;23.132843999999995;0;12.834274272881078;3.062798;1.8376788;13.35568780801259;0.0;0
34;Conv2d: 6-66;[1, 240, 14, 14];0.77319336;36.610278269779336;14.263656438728447;23.926643999999996;0;13.804192038728447;0.765774;0.45946439999999994;11.91786026977934;0.0;0
35;BatchNorm2d: 6-67;[1, 240, 14, 14];0.779541;36.74169819386716;14.263656438728447;23.926643999999996;0;13.804192038728447;0.765774;0.45946439999999994;12.049280193867162;0.0;0
36;SiLU: 6-68;[1, 240, 14, 14];0.7813721;37.295626698099476;14.263656438728447;23.926643999999996;0;13.804192038728447;0.765774;0.45946439999999994;12.603208698099479;0.0;0
37;SqueezeExcitation: 5-22;[1, 240, 14, 14];0.78100586;36.60108886788259;14.264087773259059;23.926723999999993;0;13.804623373259059;0.765774;0.45946439999999994;11.908590867882594;0.0;0
38;Conv2d: 6-74;[1, 80, 14, 14];0.77124023;35.24633765600365;13.981917307853212;23.956123999999992;0;13.828750507853213;0.255278;0.1531668;11.034935656003654;0.0;0
39;BatchNorm2d: 6-75;[1, 80, 14, 14];0.7783203;36.24014487404119;13.981917307853212;23.956123999999992;0;13.828750507853213;0.255278;0.1531668;12.0287428740412;0.0;0
40;MBConv: 3-10;[1, 80, 14, 14];0.7808838;37.952510319963366;17.860917990903168;27.249083999999996;0;17.707751190903167;0.255278;0.1531668;10.448148319963366;0.0;0
41;MBConv: 3-11;[1, 80, 14, 14];0.7730713;40.137637331937746;21.739918673953124;30.542044;0;21.586751873953123;0.255278;0.1531668;9.340315331937745;0.0;0
42;Conv2d: 6-102;[1, 480, 14, 14];0.7735596;41.92805794585337;22.55293363016167;30.600844000000002;0;21.634022830161673;1.531518;0.9189108;9.795695945853367;0.0;0
43;BatchNorm2d: 6-103;[1, 480, 14, 14];0.77941895;42.235665123964;22.55293363016167;30.600844000000002;0;21.634022830161673;1.531518;0.9189108;10.103303123963997;0.0;0
44;SiLU: 6-104;[1, 480, 14, 14];0.77905273;41.64276207406846;22.55293363016167;30.600844000000002;0;21.634022830161673;1.531518;0.9189108;9.510400074068457;0.0;0
45;Conv2d: 6-105;[1, 480, 14, 14];0.7755127;50.142044414056734;33.140633428541584;39.420844;0;32.221722628541585;1.531518;0.9189108;9.189682414056733;0.0;0
46;BatchNorm2d: 6-106;[1, 480, 14, 14];0.77368164;50.29157639386904;33.140633428541584;39.420844;0;32.221722628541585;1.531518;0.9189108;9.339214393869042;0.0;0
47;SiLU: 6-107;[1, 480, 14, 14];0.7702637;50.189022941969604;33.140633428541584;39.420844;0;32.221722628541585;1.531518;0.9189108;9.236660941969603;0.0;0
